taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Melanoleuca	0	0	0	0	0	4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__unidentified;g__unidentified	0	3	1	2	45	26
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Tylospora	0	2	0	0	3	3
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;Other;Other	0	4	0	0	2	3
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;Other	1	1	0	0	75	140
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Exidia	0	0	7	0	0	2
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__unidentified;g__unidentified	2	5	6	0	51	126
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;Other;Other	1	0	1	2	0	2
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Botryobasidiaceae;g__Botryobasidium	2	4	0	3	0	22
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;Other	0	5	0	1	0	1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema	1	0	2	1	2	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus	0	2	0	0	2	1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__unidentified;g__unidentified	0	0	0	0	1	3
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Corticium	4	7	0	0	21	67
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__unidentified;g__unidentified	3	2	2	2	99	13
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum	0	1	0	0	1	2
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Fuscoporia	2	0	0	0	2	2
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Phellinus	2	0	8	1	43	1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;Other	1	12	0	0	1	29
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia	8	62	0	22	28	179
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon	0	0	0	0	0	5
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Tubulicrinaceae;g__Tubulicrinis	1	29	5	8	0	12
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;Other;Other	26	307	39	391	13	222
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;Other	0	11	2	0	4	12
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Antrodia	4	0	1	0	7	8
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Dacryobolus	1	2	0	3	5	16
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Fomitopsis	3	4	0	18	0	24
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Sarcoporia	3	8	1	0	0	11
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;Other	0	3	0	0	1	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma	8	27	4	8	18	33
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Perenniporiella	0	5	0	0	1	12
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meripilaceae;Other	16	21	0	9	200	25
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;Other	12	47	1	9	30	75
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Bjerkandera	160	66	89	25	556	72
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Byssomerulius	4	12	3	0	3	18
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phanerochaete	0	4	0	0	2	9
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phlebia	1	11	0	0	12	86
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;Other	0	0	0	0	3	7
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Funalia	2	1	1	0	10	8
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporales_fam_Incertae_sedis;g__Lopharia	0	0	0	0	0	4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Steccherinaceae;g__Steccherinum	0	1	0	1	2	9
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Xenasmataceae;g__Xenasmatella	0	0	0	0	0	4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__unidentified;g__unidentified	0	4	0	0	2	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;Other;Other	0	7	3	0	0	3
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Albatrellaceae;g__unidentified	0	4	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;Other	25	210	166	6	218	597
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Entomocorticium	0	0	2	0	1	4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora	1	6	0	1	54	2
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Subulicystidium	0	0	0	0	1	9
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__unidentified	0	11	5	4	16	35
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stereaceae;g__Stereum	2	13	2	0	3	6
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__unidentified;g__unidentified	0	1	1	0	21	7
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentellopsis	0	7	0	0	0	1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unidentified	2	0	0	0	1	1
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;Other;Other	0	15	0	0	0	18
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;Other	0	7	0	0	5	47
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Brevicellicium	2	15	0	4	31	91
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora	2	89	4	26	16	99
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Trechisporales_fam_Incertae_sedis;g__Sistotremastrum	1	10	0	1	1	4
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__unidentified;g__unidentified	2	12	0	2	12	117
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified	3	61	0	2	171	718
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium	14	31	0	9	8	9
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;Other;Other	5	11	0	3	9	0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__unidentified;g__unidentified	7	5	4	1	1	0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula	0	2	1	0	1	0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Helicobasidiales;f__Helicobasidiaceae;g__unidentified	27	4	10	1	5	2
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;Other;Other	5	2	4	0	5	0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia	0	0	0	0	2	2
k__Fungi;p__Basidiomycota;c__Tremellomycetes;Other;Other;Other	6	7	6	8	6	15
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium	2	3	5	0	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Udeniomyces	4	3	46	1	4	2
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia	0	5	0	3	1	5
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;Other;Other	43	74	20	21	44	50
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	2	5	10	5	29	9
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella	0	0	0	0	6	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	10	13	12	10	3	7
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Kwoniella	0	4	0	1	0	0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus	2	13	1	2	1	3
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Cutaneotrichosporon	2	1	9	1	2	0
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;Other;Other	0	6	5	4	2	7
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;Other	48	73	20	33	0	6
k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia	3	5	0	2	1	1
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;Other	6	0	5	1	2	0
k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0	2	2	0	0	0
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia	0	0	4	0	0	0
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Cunninghamella	2	0	14	3	1	0
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus	16	38	70	44	25	2
k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified	165	571	274	302	514	327
k__Plantae;p__Anthophyta;c__Eudicotyledonae;o__Fagales;f__Fagaceae;g__Quercus	6	5	85	220	0	1
k__Plantae;p__Chlorophyta;c__unidentified;o__unidentified;f__unidentified;g__unidentified	298	147	160	167	53	52
k__Plantae;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified	617	18321	1212	26401	322	6233
k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporales_fam_Incertae_sedis;g__Phytophthora	687	20	257	4	440	44
